Player,GameAdj,Game,Injury Type,Position,Season,Team
"Ellis, Dan",933,31,Leg,G,2012/13,Carolina
"Grossmann, Nicklas",933,31,Concussion,D,2012/13,Philadelphia
"Jones, David",933,31,Knee,F,2012/13,Colorado
"Letang, Kris",933,31,Lower body,D,2012/13,Pittsburgh
"Lindbäck, Anders",933,31,Ankle,G,2012/13,Tampa Bay
"Methot, Marc",933,31,Knee,D,2012/13,Ottawa
"Ponikarovsky, Alexei",933,31,Lower body,F,2012/13,New Jersey
"Sanguinetti, Bobby",933,31,Upper body,D,2012/13,Carolina
"Selleck, Eric",933,31,Concussion,F,2012/13,Florida
"Vanek, Thomas",933,31,Lower body,F,2012/13,Buffalo
"White, Ryan",933,31,Lower body,F,2012/13,Montreal
"Bélanger, Éric",934,32,Groin,F,2012/13,Edmonton
"Crombeen, B.J.",934,32,Lower body,F,2012/13,Tampa Bay
"Gudbranson, Erik",934,32,Flu,D,2012/13,Florida
"Kennedy, Tyler",934,32,Illness,F,2012/13,Pittsburgh
"Komarov, Leo",934,32,Upper body,F,2012/13,Toronto
"LaRose, Chad",934,32,Flu,F,2012/13,Carolina
"Smith, Mike",934,32,Upper body,G,2012/13,Phoenix
"Stastny, Paul",934,32,Foot,F,2012/13,Colorado
"Stuart, Mark",934,32,Undisclosed,D,2012/13,Winnipeg
"Wilson, Ryan",934,32,Ankle,D,2012/13,Colorado
"Wright, James",934,32,Upper body,F,2012/13,Winnipeg
"Fehr, Eric",935,33,Upper body,F,2012/13,Washington
"Hainsey, Ron",935,33,Upper body,D,2012/13,Winnipeg
"Korpikoski, Lauri",935,33,Upper body,F,2012/13,Phoenix
"Kovalchuk, Ilya",935,33,Shoulder,F,2012/13,New Jersey
"Labrie, Pierre-Cédric",935,33,Upper body,F,2012/13,Tampa Bay
"Liles, John-Michael",935,33,Ankle,D,2012/13,Toronto
"Meszároš, Andrej",935,33,Shoulder,D,2012/13,Philadelphia
"Skille, Jack",935,33,Upper body,F,2012/13,Florida
"Weise, Dale",935,33,Shoulder,F,2012/13,Vancouver
"Ballard, Keith",936,34,Foot,D,2012/13,Vancouver
"Coburn, Braydon",936,34,Shoulder,D,2012/13,Philadelphia
"Demers, Jason",936,34,Head,D,2012/13,San Jose
"Fiddler, Vernon",936,34,Charley horse,F,2012/13,Dallas
"Foligno, Nick",936,34,Upper body,F,2012/13,Columbus
"MacArthur, Clarke",936,34,Upper body,F,2012/13,Toronto
"Oshie, T.J.",936,34,Foot,F,2012/13,St. Louis
"Ruutu, Tuomo",936,34,Lower body,F,2012/13,Carolina
"Vanek, Thomas",936,34,Upper body,F,2012/13,Buffalo
"Aucoin, Adrian",937,35,Undisclosed,D,2012/13,Columbus
"Beleskey, Matt",937,35,Undisclosed,F,2012/13,Anaheim
"Fisher, Mike",937,35,Hand,F,2012/13,Nashville
"Fleury, Marc-André",937,35,Undisclosed,G,2012/13,Pittsburgh
"Halák, Jaroslav",937,35,Groin,G,2012/13,St. Louis
"Hejduk, Milan",937,35,Shoulder,F,2012/13,Colorado
"Kobasew, Chuck",937,35,Torso,F,2012/13,Colorado
"Letang, Kris",937,35,Lower body,D,2012/13,Pittsburgh
"Neuvirth, Michal",937,35,Head,G,2012/13,Washington
"Nichol, Scott",937,35,Lower body,F,2012/13,St. Louis
"Smith, Derek",937,35,Upper body,D,2012/13,Calgary
"Zetterberg, Henrik",937,35,Groin,F,2012/13,Detroit
"Armstrong, Colby",938,36,Knee,F,2012/13,Montreal
"Bergeron, Patrice",938,36,Concussion,F,2012/13,Boston
"Boll, Jared",938,36,Upper body,F,2012/13,Columbus
"Cullen, Matt",938,36,Lower body,F,2012/13,Minnesota
"Erixon, Tim",938,36,Upper body,D,2012/13,Columbus
"Finley, Joe",938,36,Undisclosed,D,2012/13,NY Islanders
"Leino, Ville",938,36,Upper body,F,2012/13,Buffalo
"Martin, Paul",938,36,Wrist,D,2012/13,Pittsburgh
"Penner, Dustin",938,36,Lower body,F,2012/13,Los Angeles
"Pitkänen, Joni",938,36,Heel,D,2012/13,Carolina
"Raymond, Mason",938,36,Shoulder,F,2012/13,Vancouver
"Samuelsson, Mikael",938,36,Pectoral,F,2012/13,Detroit
"Talbot, Max",938,36,Leg,F,2012/13,Philadelphia
"Bolland, Dave",939,37,Foot,F,2012/13,Chicago
"Bourque, Gabriel",939,37,Knee,F,2012/13,Nashville
"Brunner, Damien",939,37,Hip,F,2012/13,Detroit
"Crosby, Sidney",939,37,Facial,F,2012/13,Pittsburgh
"Glencross, Curtis",939,37,Leg,F,2012/13,Calgary
"Heatley, Dany",939,37,Shoulder,F,2012/13,Minnesota
"Hedman, Victor",939,37,Lower body,D,2012/13,Tampa Bay
"Hoffman, Mike",939,37,Collarbone,F,2012/13,Ottawa
"Kennedy, Tim",939,37,Undisclosed,F,2012/13,San Jose
"Kostopoulos, Tom",939,37,Head,F,2012/13,New Jersey
"McDonald, Andy",939,37,Flu,F,2012/13,St. Louis
"Plekanec, Tomáš",939,37,Groin,F,2012/13,Montreal
"Rinaldo, Zac",939,37,Lower body,F,2012/13,Philadelphia
"Semin, Alexander",939,37,Upper body,F,2012/13,Carolina
"Shore, Drew",939,37,Upper body,F,2012/13,Florida
"Clitsome, Grant",940,38,Facial,D,2012/13,Winnipeg
"Getzlaf, Ryan",940,38,Lower body,F,2012/13,Anaheim
"Hiller, Jonas",940,38,Illness,G,2012/13,Anaheim
"Hudler, Jiří",940,38,Upper body,F,2012/13,Calgary
"Laich, Brooks",940,38,Lower body,F,2012/13,Washington
"Lupul, Joffrey",940,38,Concussion,F,2012/13,Toronto
"MacDermid, Lane",940,38,Upper body,F,2012/13,Dallas
"McGrattan, Brian",940,38,Shoulder,F,2012/13,Calgary
"Miller, J.T.",940,38,Wrist,F,2012/13,NY Rangers
"Antropov, Nik",941,39,Lower body,F,2012/13,Winnipeg
"Dubinsky, Brandon",941,39,Flu,F,2012/13,Columbus
"Dwyer, Patrick",941,39,Undisclosed,F,2012/13,Carolina
"Emelin, Alexei",941,39,Knee,D,2012/13,Montreal
"Erat, Martin",941,39,Lower body,F,2012/13,Washington
"Gaustad, Paul",941,39,Shoulder,F,2012/13,Nashville
"Hemský, Aleš",941,39,Foot,F,2012/13,Edmonton
"Moulson, Matt",941,39,Flu,F,2012/13,NY Islanders
"Nikitin, Nikita",941,39,Upper body,D,2012/13,Columbus
"Stajan, Matt",941,39,Upper body,F,2012/13,Calgary
"Tanev, Chris",941,39,Leg,D,2012/13,Vancouver
"Bowman, Drayson",942,40,Upper body,F,2012/13,Carolina
"Brent, Tim",942,40,Lower body,F,2012/13,Carolina
"Fisher, Mike",942,40,Hand,F,2012/13,Nashville
"Hedberg, Johan",942,40,Groin,G,2012/13,New Jersey
"Higgins, Chris",942,40,Lower body,F,2012/13,Vancouver
"Lehtonen, Kari",942,40,Groin,G,2012/13,Dallas
"Marchand, Brad",942,40,Concussion,F,2012/13,Boston
"Neal, James",942,40,Concussion,F,2012/13,Pittsburgh
"Schneider, Cory",942,40,Flu,G,2012/13,Vancouver
"Souray, Sheldon",942,40,Undisclosed,D,2012/13,Anaheim
"Varlamov, Semyon",942,40,Hip,G,2012/13,Colorado
"Ward, Joel",942,40,Knee,F,2012/13,Washington
"Weber, Yannick",942,40,Knee,D,2012/13,Montreal
"Glencross, Curtis",943,41,Flu,F,2012/13,Calgary
"Hemský, Aleš",943,41,Foot,F,2012/13,Edmonton
"Konopka, Zenon",943,41,Foot,F,2012/13,Minnesota
"Labrie, Pierre-Cédric",943,41,Upper body,F,2012/13,Tampa Bay
"Salvador, Bryce",943,41,Wrist,D,2012/13,New Jersey
"Sharp, Patrick",943,41,Shoulder,F,2012/13,Chicago
"Tanguay, Alex",943,41,Knee,F,2012/13,Calgary
"Yip, Brandon",943,41,Lower body,F,2012/13,Nashville
"Enström, Tobias",944,42,Back,D,2012/13,Winnipeg
"Fowler, Cam",944,42,Upper body,D,2012/13,Anaheim
"Gunnarsson, Carl",944,42,Hip,D,2012/13,Toronto
"Johnson, Erik",944,42,Hand,D,2012/13,Colorado
"Kuba, Filip",944,42,Lower body,D,2012/13,Florida
"Malkin, Evgeni",944,42,Upper body,F,2012/13,Pittsburgh
"Myers, Tyler",944,42,Leg,D,2012/13,Buffalo
"Prust, Brandon",944,42,Shoulder,F,2012/13,Montreal
"Smith, Mike",944,42,Lower body,G,2012/13,Phoenix
"Thompson, Nate",944,42,Facial,F,2012/13,Tampa Bay
"Wallace, Tim",944,42,Upper body,F,2012/13,Carolina
"Anisimov, Artem",945,43,Head,F,2012/13,Columbus
"Bieksa, Kevin",945,43,Lower body,D,2012/13,Vancouver
"Boyle, Brian",945,43,Leg,F,2012/13,NY Rangers
"Chiasson, Alex",945,43,Shoulder,F,2012/13,Dallas
"Emery, Ray",945,43,Lower body,G,2012/13,Chicago
"Gervais, Bruno",945,43,Stomach,D,2012/13,Philadelphia
"Huskins, Kent",945,43,Concussion,D,2012/13,Philadelphia
"Hörnqvist, Patric",945,43,Upper body,F,2012/13,Nashville
"Peckham, Theo",945,43,Illness,D,2012/13,Edmonton
"Petrell, Lennart",945,43,Ankle,F,2012/13,Edmonton
"Pyatt, Tom",945,43,Upper body,F,2012/13,Tampa Bay
"Rozsíval, Michal",945,43,Upper body,D,2012/13,Chicago
"Rupp, Mike",945,43,Undisclosed,F,2012/13,Minnesota
"Ryder, Michael",945,43,Upper body,F,2012/13,Montreal
"Sbisa, Luca",945,43,Lower body,D,2012/13,Anaheim
"Skinner, Jeff",945,43,Upper body,F,2012/13,Carolina
"Strachan, Tyson",945,43,Upper body,D,2012/13,Florida
"Aucoin, Adrian",946,44,Lower body,D,2012/13,Columbus
"Daley, Trevor",946,44,Upper body,D,2012/13,Dallas
"Fasth, Viktor",946,44,Lower body,G,2012/13,Anaheim
"Gudbranson, Erik",946,44,Hand,D,2012/13,Florida
"Horton, Nathan",946,44,Upper body,F,2012/13,Boston
"Klein, Kevin",946,44,Upper body,D,2012/13,Nashville
"McQuaid, Adam",946,44,Upper body,D,2012/13,Boston
"Morris, Derek",946,44,Lower body,D,2012/13,Phoenix
"Nugent-Hopkins, Ryan",946,44,Shoulder,F,2012/13,Edmonton
"Prust, Brandon",946,44,Shoulder,F,2012/13,Montreal
"Selänne, Teemu",946,44,Lower body,F,2012/13,Anaheim
"Wideman, Dennis",946,44,Finger,D,2012/13,Calgary
"Bennett, Beau",947,45,Upper body,F,2012/13,Pittsburgh
"Bégin, Steve",947,45,Hand,F,2012/13,Calgary
"Demers, Jason",947,45,Lower body,D,2012/13,San Jose
"Fayne, Mark",947,45,Undisclosed,D,2012/13,New Jersey
"Glencross, Curtis",947,45,Knee,F,2012/13,Calgary
"Kopecký, Tomáš",947,45,Upper body,F,2012/13,Florida
"Letang, Kris",947,45,Illness,D,2012/13,Pittsburgh
"Miller, Drew",947,45,Hand,F,2012/13,Detroit
"Nikitin, Nikita",947,45,Lower body,D,2012/13,Columbus
"Pääjärvi, Magnus",947,45,Foot,F,2012/13,Edmonton
"Souray, Sheldon",947,45,Lower body,D,2012/13,Anaheim
"Ballard, Keith",948,46,Back,D,2012/13,Vancouver
"Beck, Taylor",948,46,Upper body,F,2012/13,Nashville
"Bogosian, Zach",948,46,Upper body,D,2012/13,Winnipeg
"Bolland, Dave",948,46,Groin,F,2012/13,Chicago
"Calvert, Matt",948,46,Finger,F,2012/13,Columbus
"Howden, Quinton",948,46,Illness,F,2012/13,Florida
"Jokinen, Olli",948,46,Ankle,F,2012/13,Winnipeg
"Kaleta, Patrick",948,46,Hand,F,2012/13,Buffalo
"Klinkhammer, Rob",948,46,Concussion,F,2012/13,Phoenix
"Kulikov, Dmitry",948,46,Upper body,D,2012/13,Florida
"Malone, Ryan",948,46,Flu,F,2012/13,Tampa Bay
"Morris, Derek",948,46,Lower body,D,2012/13,Phoenix
"Ryan, Bobby",948,46,Illness,F,2012/13,Anaheim
"Sarich, Cory",948,46,Nose,D,2012/13,Calgary
"Timonen, Kimmo",948,46,Foot,D,2012/13,Philadelphia
"Whitney, Ryan",948,46,Leg,D,2012/13,Edmonton
"Bozak, Tyler",949,47,Upper body,F,2012/13,Toronto
"Corvo, Joe",949,47,Undisclosed,D,2012/13,Carolina
"Emery, Ray",949,47,Lower body,G,2012/13,Chicago
"Jackman, Barret",949,47,Ankle,D,2012/13,St. Louis
"Jágr, Jaromír",949,47,Flu,F,2012/13,Boston
"Orpik, Brooks",949,47,Lower body,D,2012/13,Pittsburgh
"Peluso, Anthony",949,47,Hand,F,2012/13,Winnipeg
"Pominville, Jason",949,47,Head,F,2012/13,Minnesota
"Schneider, Cory",949,47,Lower body,G,2012/13,Vancouver
"Semin, Alexander",949,47,Concussion,F,2012/13,Carolina
"Vitale, Joe",949,47,Lower body,F,2012/13,Pittsburgh
"Wellwood, Kyle",949,47,Hand,F,2012/13,Winnipeg
"Clowe, Ryane",950,48,Head,F,2012/13,NY Rangers
"Greene, Matt",950,48,Undisclosed,D,2012/13,Los Angeles
"Bergenheim, Sean",951,1,Hip,F,2013/14,Florida
"Bjugstad, Nick",951,1,Concussion,F,2013/14,Florida
"Boll, Jared",951,1,Upper body,F,2013/14,Columbus
"Burish, Adam",951,1,Lower body,F,2013/14,San Jose
"Callahan, Ryan",951,1,Shoulder,F,2013/14,NY Rangers
"Cammalleri, Mike",951,1,Hand,F,2013/14,Calgary
"Clitsome, Grant",951,1,Lower body,D,2013/14,Winnipeg
"Clutterbuck, Cal",951,1,Leg,F,2013/14,NY Islanders
"D'Agostini, Matt",951,1,Lower body,F,2013/14,Pittsburgh
"Drewiske, Davis",951,1,Shoulder,D,2013/14,Montreal
"Eaves, Patrick",951,1,Knee,F,2013/14,Detroit
"Etem, Emerson",951,1,Leg,F,2013/14,Anaheim
"Foligno, Marcus",951,1,Shoulder,F,2013/14,Buffalo
"Forsberg, Filip",951,1,Lower body,F,2013/14,Nashville
"Gagner, Sam",951,1,Jaw,F,2013/14,Edmonton
"Gleason, Tim",951,1,Concussion,D,2013/14,Carolina
"Grebeshkov, Denis",951,1,Groin,D,2013/14,Edmonton
"Gustavsson, Jonas",951,1,Groin,G,2013/14,Detroit
"Hagelin, Carl",951,1,Shoulder,F,2013/14,NY Rangers
"Havlát, Martin",951,1,Groin,F,2013/14,San Jose
"Holland, Peter",951,1,Lower body,F,2013/14,Anaheim
"Horton, Nathan",951,1,Shoulder,F,2013/14,Columbus
"Jovanovski, Ed",951,1,Hip,D,2013/14,Florida
"Klesla, Rostislav",951,1,Concussion,D,2013/14,Phoenix
"Lee, Brian",951,1,Knee,"D ""Retired""",2013/14,Tampa Bay
"Letang, Kris",951,1,Lower body,D,2013/14,Pittsburgh
"MacIntyre, Steve",951,1,Knee,F,2013/14,Edmonton
"McLaren, Frazer",951,1,Finger,F,2013/14,Toronto
"Murray, Douglas",951,1,Upper body,D,2013/14,Montreal
"Peverley, Rich",951,1,Heart,F,2013/14,Dallas
"Pinizzotto, Steve",951,1,Hip,F,2013/14,Florida
"Potter, Corey",951,1,Back,D,2013/14,Edmonton
"Rome, Aaron",951,1,Hip,D,2013/14,Dallas
"Rupp, Mike",951,1,Knee,F,2013/14,Minnesota
"Ruutu, Tuomo",951,1,Lower body,F,2013/14,Carolina
"Salo, Sami",951,1,Upper body,D,2013/14,Tampa Bay
"Sbisa, Luca",951,1,Ankle,D,2013/14,Anaheim
"Schroeder, Jordan",951,1,Foot,F,2013/14,Vancouver
"Souray, Sheldon",951,1,Wrist,"D ""Retired""",2013/14,Anaheim
"Stuart, Brad",951,1,Lower body,D,2013/14,San Jose
"Stålberg, Viktor",951,1,Shoulder,F,2013/14,Nashville
"Söderberg, Carl",951,1,Ankle,F,2013/14,Boston
"Tedenby, Mattias",951,1,Lower body,F,2013/14,New Jersey
"Tootoo, Jordin",951,1,Shoulder,F,2013/14,Detroit
"Torres, Raffi",951,1,Knee,F,2013/14,San Jose
"Tropp, Corey",951,1,Jaw,F,2013/14,Buffalo
"Tyutin, Fedor",951,1,Lower body,D,2013/14,Columbus
"Vokoun, Tomáš",951,1,Blood clots,"G ""Retired""",2013/14,Pittsburgh
"Wilson, Ryan",951,1,Knee,D,2013/14,Colorado
"Zadorov, Nikita",951,1,Finger,D,2013/14,Buffalo
"Burrows, Alex",952,2,Foot,F,2013/14,Vancouver
"Landeskog, Gabriel",952,2,Leg,F,2013/14,Colorado
"Leino, Ville",952,2,Ribs,F,2013/14,Buffalo
"Neal, James",952,2,Upper body,F,2013/14,Pittsburgh
"Pacioretty, Max",952,2,Wrist,F,2013/14,Montreal
"Parros, George",952,2,Concussion,F,2013/14,Montreal
"Stajan, Matt",952,2,Leg,F,2013/14,Calgary
"Coyle, Charlie",953,3,Knee,F,2013/14,Minnesota
"Fraser, Mark",953,3,Knee,D,2013/14,Toronto
"Hillen, Jack",953,3,Leg,D,2013/14,Washington
"Joensuu, Jesse",953,3,Back,F,2013/14,Edmonton
"Josi, Roman",953,3,Concussion,D,2013/14,Nashville
"Kulemin, Nikolay",953,3,Ankle,F,2013/14,Toronto
"Miller, Ryan",953,3,Groin,G,2013/14,Buffalo
"Morris, Derek",953,3,Upper body,D,2013/14,Phoenix
"Spaling, Nick",953,3,Upper body,F,2013/14,Nashville
"Spezza, Jason",953,3,Groin,F,2013/14,Ottawa
"Tallinder, Henrik",953,3,Upper body,D,2013/14,Buffalo
"Beleskey, Matt",954,4,Thumb,F,2013/14,Anaheim
"Bäckström, Niklas",954,4,Knee,G,2013/14,Minnesota
"Calvert, Matt",954,4,Abdominal,F,2013/14,Columbus
"Corvo, Joe",954,4,Eye,D,2013/14,Ottawa
"Hamilton, Ryan",954,4,Knee,F,2013/14,Edmonton
"Lehtonen, Kari",954,4,Lower body,G,2013/14,Dallas
"Nash, Rick",954,4,Head,F,2013/14,NY Rangers
"Palmieri, Kyle",954,4,Upper body,F,2013/14,Anaheim
"Pyatt, Tom",954,4,Collarbone,F,2013/14,Tampa Bay
"Thomas, Tim",954,4,Groin,G,2013/14,Florida
"Thorburn, Chris",954,4,Lower body,F,2013/14,Winnipeg
"Bishop, Ben",955,5,Lower body,G,2013/14,Tampa Bay
"Carter, Ryan",955,5,Upper body,F,2013/14,New Jersey
"Erskine, John",955,5,Upper body,D,2013/14,Washington
"Jones, David",955,5,Upper body,F,2013/14,Calgary
"Penner, Dustin",955,5,Lower body,F,2013/14,Anaheim
"Bennett, Beau",956,6,Lower body,F,2013/14,Pittsburgh
"Del Zotto, Michael",956,6,Flu,D,2013/14,NY Rangers
"Gáborík, Marián",956,6,Illness,F,2013/14,Columbus
"Hartnell, Scott",956,6,Upper body,F,2013/14,Philadelphia
"Lecavalier, Vincent",956,6,Lower body,F,2013/14,Philadelphia
"Lindholm, Elias",956,6,Upper body,F,2013/14,Carolina
"Ballard, Keith",957,7,Concussion,D,2013/14,Minnesota
"Boyle, Dan",957,7,Upper body,D,2013/14,San Jose
"Callahan, Ryan",957,7,Thumb,F,2013/14,NY Rangers
"Clowe, Ryane",957,7,Head,F,2013/14,New Jersey
"Fasth, Viktor",957,7,Lower body,G,2013/14,Anaheim
"Howard, Jimmy",957,7,Hand,G,2013/14,Detroit
"Jackman, Barret",957,7,Upper body,D,2013/14,St. Louis
"Joensuu, Jesse",957,7,Back,F,2013/14,Edmonton
"Khudobin, Anton",957,7,Lower body,G,2013/14,Carolina
"Morris, Derek",957,7,Lower body,D,2013/14,Phoenix
"Morrow, Brenden",957,7,Upper body,F,2013/14,St. Louis
"Pacioretty, Max",957,7,Hamstring,F,2013/14,Montreal
"van Riemsdyk, James",957,7,Back,F,2013/14,Toronto
"Brunner, Damien",958,8,Upper body,F,2013/14,New Jersey
"Eliáš, Patrik",958,8,Flu,F,2013/14,New Jersey
"Fisher, Mike",958,8,Lower body,F,2013/14,Nashville
"Lundqvist, Henrik",958,8,Undisclosed,G,2013/14,NY Rangers
"Pageau, Jean-Gabriel",958,8,Undisclosed,F,2013/14,Ottawa
"Brière, Daniel",959,9,Concussion,F,2013/14,Montreal
"Burns, Brent",959,9,Upper body,F,2013/14,San Jose
"Eriksson, Loui",959,9,Concussion,F,2013/14,Boston
"Giordano, Mark",959,9,Lower body,D,2013/14,Calgary
"Girgensons, Zemgus",959,9,Facial,F,2013/14,Buffalo
"Kostka, Mike",959,9,Lower body,D,2013/14,Chicago
"Kronwall, Niklas",959,9,Concussion,D,2013/14,Detroit
"Penner, Dustin",959,9,Concussion,F,2013/14,Anaheim
"Prust, Brandon",959,9,Shoulder,F,2013/14,Montreal
"Slater, Jim",959,9,Hernia,F,2013/14,Winnipeg
"Stuart, Mark",959,9,Hip,D,2013/14,Winnipeg
"Trouba, Jacob",959,9,Upper body,D,2013/14,Winnipeg
"Višňovský, Ľubomír",959,9,Concussion,D,2013/14,NY Islanders
"Doan, Shane",960,10,Lower body,F,2013/14,Phoenix
"Dwyer, Patrick",960,10,Upper body,F,2013/14,Carolina
"Ericsson, Jonathan",960,10,Upper body,D,2013/14,Detroit
"Hall, Taylor",960,10,Knee,F,2013/14,Edmonton
"McCormick, Cody",960,10,Lower body,F,2013/14,Buffalo
"Pääjärvi, Magnus",960,10,Upper body,F,2013/14,St. Louis
"Salvador, Bryce",960,10,Foot,D,2013/14,New Jersey
"Schroeder, Jordan",960,10,Ankle,F,2013/14,Vancouver
"Smyth, Ryan",960,10,Groin,F,2013/14,Edmonton
"Strait, Brian",960,10,Upper body,D,2013/14,NY Islanders
"Bellemore, Brett",961,11,Lower body,D,2013/14,Carolina
"Brodin, Jonas",961,11,Cheek,D,2013/14,Minnesota
"Handzuš, Michal",961,11,Upper body,F,2013/14,Chicago
"Jenner, Boone",961,11,Leg,F,2013/14,Columbus
"Korpikoski, Lauri",961,11,Upper body,F,2013/14,Phoenix
"Lupul, Joffrey",961,11,Foot,F,2013/14,Toronto
"MacArthur, Clarke",961,11,Undisclosed,F,2013/14,Ottawa
"MacKenzie, Derek",961,11,Lower body,F,2013/14,Columbus
"McDonald, Colin",961,11,Hip,F,2013/14,NY Islanders
"McGinn, Jamie",961,11,Knee,F,2013/14,Colorado
"Morrow, Brenden",961,11,Upper body,F,2013/14,St. Louis
"Rinne, Pekka",961,11,Hip,G,2013/14,Nashville
"Schneider, Cory",961,11,Lower body,G,2013/14,New Jersey
"Skinner, Jeff",961,11,Upper body,F,2013/14,Carolina
"Stempniak, Lee",961,11,Foot,F,2013/14,Calgary
"Thomas, Tim",961,11,Lower body,G,2013/14,Florida
"Ward, Cam",961,11,Lower body,G,2013/14,Carolina
"Bozak, Tyler",962,12,Lower body,F,2013/14,Toronto
"Breen, Christopher",962,12,Abdominal,D,2013/14,Calgary
"Dvořák, Radek",962,12,Lower body,F,2013/14,Carolina
"Erskine, John",962,12,Upper body,D,2013/14,Washington
"Fleischmann, Tomáš",962,12,Illness,F,2013/14,Florida
"Hansen, Jannik",962,12,Upper body,F,2013/14,Vancouver
"Harding, Josh",962,12,Lower body,G,2013/14,Minnesota
"Klesla, Rostislav",962,12,Lower body,D,2013/14,Phoenix
"Moen, Travis",962,12,Facial,F,2013/14,Montreal
"Moore, Dominic",962,12,Upper body,F,2013/14,NY Rangers
"Nieto, Matt",962,12,Hand,F,2013/14,San Jose
"Perreault, Mathieu",962,12,Wrist,F,2013/14,Anaheim
"Scuderi, Rob",962,12,Ankle,D,2013/14,Pittsburgh
"Silfverberg, Jakob",962,12,Hand,F,2013/14,Anaheim
"Beagle, Jay",963,13,Illness,F,2013/14,Washington
"Booth, David",963,13,Lower body,F,2013/14,Vancouver
"Boychuk, Johnny",963,13,Upper body,D,2013/14,Boston
"Downie, Steve",963,13,Concussion,F,2013/14,Philadelphia
"Dubnyk, Devan",963,13,Ankle,G,2013/14,Edmonton
"Eliáš, Patrik",963,13,Back,F,2013/14,New Jersey
"Franzén, Johan",963,13,Undisclosed,F,2013/14,Detroit
"Halpern, Jeff",963,13,Upper body,F,2013/14,Phoenix
"Kobasew, Chuck",963,13,Lower body,F,2013/14,Pittsburgh
"Koivu, Saku",963,13,Concussion,F,2013/14,Anaheim
"Lecavalier, Vincent",963,13,Facial,F,2013/14,Philadelphia
"Ovechkin, Alexander",963,13,Upper body,F,2013/14,Washington
"Pitlick, Tyler",963,13,Knee,F,2013/14,Edmonton
"Postma, Paul",963,13,Blood clots,D,2013/14,Winnipeg
"Weber, Mike",963,13,Upper body,D,2013/14,Buffalo
"Weise, Dale",963,13,Leg,F,2013/14,Vancouver
"Westgarth, Kevin",963,13,Upper body,F,2013/14,Carolina
"Zajac, Travis",963,13,Ankle,F,2013/14,New Jersey
"Condra, Erik",964,14,Leg,F,2013/14,Ottawa
"Gleason, Tim",964,14,Upper body,D,2013/14,Carolina
"Gustavsson, Jonas",964,14,Neck,G,2013/14,Detroit
"Harrold, Peter",964,14,Lower body,D,2013/14,New Jersey
"Hendricks, Matt",964,14,Upper body,F,2013/14,Nashville
"Mills, Brad",964,14,Lower body,F,2013/14,Chicago
"Perron, David",964,14,Neck,F,2013/14,Edmonton
"Selänne, Teemu",964,14,Facial,F,2013/14,Anaheim
"Tanguay, Alex",964,14,Knee,F,2013/14,Colorado
"Volchenkov, Anton",964,14,Lower body,D,2013/14,New Jersey
"Anderson, Craig",965,15,Head,G,2013/14,Ottawa
"Carter, Jeff",965,15,Lower body,F,2013/14,Los Angeles
"Coyle, Charlie",965,15,Undisclosed,F,2013/14,Minnesota
"Fisher, Mike",965,15,Lower body,F,2013/14,Nashville
"Franzén, Johan",965,15,Illness,F,2013/14,Detroit
"Gomez, Scott",965,15,Groin,F,2013/14,Florida
"Leopold, Jordan",965,15,Hand,D,2013/14,St. Louis
"Merrill, Jon",965,15,Facial,D,2013/14,New Jersey
"Schultz, Justin",965,15,Groin,D,2013/14,Edmonton
"Stuart, Mark",965,15,Hip,D,2013/14,Winnipeg
"Wilson, Ryan",965,15,Back,D,2013/14,Colorado
"Bachman, Richard",966,16,Groin,G,2013/14,Edmonton
"Belov, Anton",966,16,Knee,D,2013/14,Edmonton
"Bolland, Dave",966,16,Ankle,F,2013/14,Toronto
"Clutterbuck, Cal",966,16,Upper body,F,2013/14,NY Islanders
"Glencross, Curtis",966,16,Knee,F,2013/14,Calgary
"Greene, Matt",966,16,Upper body,D,2013/14,Los Angeles
"Kane, Evander",966,16,Lower body,F,2013/14,Winnipeg
"Orr, Colton",966,16,Undisclosed,F,2013/14,Toronto
"Schlemko, David",966,16,Lower body,D,2013/14,Phoenix
"Smith, Brendan",966,16,Shoulder,D,2013/14,Detroit
"Stoll, Jarret",966,16,Upper body,F,2013/14,Los Angeles
"Ballard, Keith",967,17,Upper body,D,2013/14,Minnesota
"Gionta, Stephen",967,17,Ankle,F,2013/14,New Jersey
"Gomez, Scott",967,17,Groin,F,2013/14,Florida
"Martin, Paul",967,17,Lower body,D,2013/14,Pittsburgh
"McQuaid, Adam",967,17,Groin,D,2013/14,Boston
"Morris, Derek",967,17,Lower body,D,2013/14,Phoenix
"Pyatt, Taylor",967,17,Concussion,F,2013/14,NY Rangers
"Raffl, Michael",967,17,Flu,F,2013/14,Philadelphia
"Vatanen, Sami",967,17,Upper body,D,2013/14,Anaheim
"Aulie, Keith",968,18,Upper body,D,2013/14,Tampa Bay
"Clifford, Kyle",968,18,Upper body,F,2013/14,Los Angeles
"Phillips, Chris",968,18,Undisclosed,D,2013/14,Ottawa
"Prout, Dalton",968,18,Back,D,2013/14,Columbus
"Salo, Sami",968,18,Lower body,D,2013/14,Tampa Bay
"Stamkos, Steven",968,18,Leg,F,2013/14,Tampa Bay
"Stoner, Clayton",968,18,Leg,D,2013/14,Minnesota
"Vanek, Thomas",968,18,Upper body,F,2013/14,NY Islanders
"Vrbata, Radim",968,18,Lower body,F,2013/14,Phoenix
